account_id,service,lineitem_resourceid,product_instancetype,lineitem_operation,lineitem_usagetype,product_region,lineitem_lineitemtype,pricing_publicondemandrate,lineitem_unblendedrate,ondemand_risk_cost,usage_amount
325215378246,AmazonRDS,arn:aws:rds:ap-northeast-1:325215378246:db:p-mnrvdb01,db.r5.4xlarge,CreateDBInstance:0020,APN1-Multi-AZUsage:db.r5.4xl,ap-northeast-1,DiscountedUsage,8.8960000000,0.0000000000,6618.624,744.0
325215378246,AmazonRDS,arn:aws:rds:ap-northeast-1:325215378246:db:p-mnrvdb02,db.r5.2xlarge,CreateDBInstance:0020,APN1-InstanceUsage:db.r5.2xl,ap-northeast-1,Usage,2.2240000000,2.2240000000,4.448,2.0
